Nome da Tarefa,Status,Última Execução
ETL_etl-oracle_extract_sicad_E_CONDECORACAO,Success,2025-06-06 04:06
ETL_etl-oracle_extract_sicad_E_CURSO,Success,2025-06-06 04:09
ETL_etl-oracle_extract_sicad_E_ELOGIO,Success,2025-06-06 04:19
ETL_etl-oracle_extract_sicad_E_EST_ORGANIZACIONAL_REAL,Success,2025-06-06 05:04
ETL_etl-oracle_extract_sicad_E_GRAU_DE_INSTRUCAO,Success,2025-06-06 05:04
ETL_etl-oracle_extract_sicad_E_PESSOA_SICAD,Success,2025-06-06 05:04
ETL_etl-oracle_extract_sicad_E_PUNICOES,Success,2025-06-06 05:04
ETL_etl-oracle_extract_sicad_E_RESUMO_QUADRO_PGQ,Success,2025-06-06 05:04
ETL_etl-oracle_extract_sicad_E_TAF,Success,2025-06-06 05:04
ETL_etl-oracle_extract_sicad_E_TODOS_SERVIDORES_CORPORACOES,Success,2025-06-06 05:04
ETL_etl-oracle_extract_spp_antigo_E_DELEGACIAS,Success,2025-06-06 04:00
ETL_etl-oracle_extract_spp_antigo_E_DELEGADO,Success,2025-06-06 04:02
ETL_etl-oracle_extract_spp_antigo_E_ESCRIVAO,Success,2025-06-06 04:03
ETL_etl-oracle_extract_spp_antigo_E_INQUERITO_SPP,Success,2025-06-06 04:06
ETL_etl-oracle_extract_spp_antigo_E_MOVIMENTACAO_SPP,Success,2025-06-06 04:10
ETL_etl-oracle_extract_spp_antigo_E_NATUREZA_SPP,Success,2025-06-06 04:20
ETL_etl-oracle_extract_spp_antigo_E_OCORRENCIA_SPP,Success,2025-06-06 04:31
ETL_etl-oracle_extract_spp_antigo_E_PARTES_SPP,Success,2025-06-06 04:48
ETL_etl-oracle_extract_veiculos_E_FURTOROUBO,Success,2025-06-06 10:56
ETL_etl-oracle_extract_veiculos_E_INFRACAO_TRANSITO,Success,2025-06-06 10:58
ETL_etl-oracle_extract_veiculos_E_OCORRENCIAS_TRANSITO,Success,2025-06-06 10:58
ETL_etl-oracle_extract_veiculos_E_TIPO_VEICULO_VIATURA,Success,2025-06-06 11:05
ETL_etl-oracle_extract_veiculos_E_VEICULOS,Success,2025-06-06 11:05
ETL_etl-oracle_extract_veiculos_E_VEICULOS_ANALISE,Success,2025-06-06 11:17
ETL_etl-oracle_extract_viaturas_oracle_E_PATRIMONIO_ATUAL,Success,2025-06-06 11:17
ETL_etl-oracle_extract_viaturas_oracle_E_PATRIMONIO_ESCALA,Success,2025-06-06 11:17
ETL_etl-postgresql_extract_redmine_postgresql_E_ATIVIDADE_CATALOGO,Success,2025-06-06 04:00
ETL_etl-postgresql_extract_redmine_postgresql_E_ATRIB_CATALOGO,Success,2025-06-06 04:00
ETL_etl-postgresql_extract_redmine_postgresql_E_FATURAMENTO_REDMINE,Success,2025-06-06 04:00
ETL_etl-postgresql_extract_redmine_postgresql_E_SISTEMA_REDMINE,Success,2025-06-06 04:02
ETL_etl-postgresql_extract_redmine_postgresql_E_SISTEMA_REDMINE_CORPORACAO,Success,2025-06-06 04:03
ETL_etl-postgresql_extract_redmine_postgresql_E_TAREFAS,Success,2025-06-06 04:00
ETL_etl-postgresql_extract_redmine_postgresql_E_USUARIOS,Success,2025-06-06 04:04
